u,y
-5.00000000,-710.61432129
-4.52693319,-700.58572876
-4.09862471,-685.67151855
-3.71083999,-674.87148926
-3.35974479,-659.31433105
-3.04186797,-649.41433838
-2.75406647,-636.30002319
-2.49349499,-624.72861816
-2.25757694,-616.11431885
-2.04397988,-600.30004150
-1.85059214,-582.30005371
-1.67550135,-564.42858887
-1.51697648,-546.17144531
-1.37345016,-523.80007813
-1.24350345,-499.62861450
-1.12585139,-475.97146667
-1.01933074,-448.58577148
-0.92288840,-419.91432617
-0.83557081,-391.50002747
-0.75651461,-359.74288635
-0.68493825,-324.25716797
-0.62013388,-287.22858765
-0.56146091,-247.24287994
-0.50833923,-205.07143707
-0.46024352,-157.24286469
-0.41669834,-105.17143646
-0.37727308,-39.98571678
-0.34157801,0.00000000
-0.30926016,0.00000000
-0.28000000,0.00000000
0.28000000,0.00000000
0.30926016,0.00000000
0.34157801,0.00000000
0.37727308,25.84285892
0.41669834,95.65715210
0.46024352,154.15714996
0.50833923,209.82859131
0.56146091,254.31431091
0.62013388,299.95717346
0.68493825,333.77145142
0.75651461,363.72859558
0.83557081,396.77144531
0.92288840,426.72861877
1.01933074,452.57147217
1.12585139,479.44288879
1.24350345,503.48575806
1.37345016,522.38578857
1.51697648,543.08572266
1.67550135,560.95718384
1.85059214,576.25718018
2.04397988,591.55721802
2.25757694,609.68578003
2.49349499,624.21433105
2.75406647,638.48573730
3.04186797,649.80005371
3.35974479,661.75717407
3.71083999,673.32862793
4.09862471,684.25722900
4.52693319,698.40002441
5.00000000,705.47145020
